Month,"Sale Price, Median 2009","Sale Price, Median 2010","Sale Price, Median 2011","Sale Price, Median 2012","Sale Price, Median 2013","Sale Price, Median 2014","Sale Price, Median 2015","Sale Price, Median 2016","Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019"
Jan,"$2,300 ","$2,275 ","$2,325 ","$2,345 ","$2,400 ","$2,481 ","$2,495 ","$2,350 ","$2,325 ","$2,300 ","$2,250 "
Feb,"$2,300 ","$2,500 ","$2,300 ","$2,525 ","$2,498 ","$2,375 ","$2,300 ","$2,300 ","$2,400 ","$2,450 ",
Mar,"$2,425 ","$2,700 ","$2,500 ","$2,650 ","$2,450 ","$2,250 ","$2,385 ","$2,495 ","$2,300 ","$2,320 ",
Apr,"$2,500 ","$2,448 ","$2,375 ","$2,500 ","$2,400 ","$2,400 ","$2,450 ","$2,300 ","$2,398 ","$2,300 ",
May,"$2,500 ","$2,500 ","$2,350 ","$2,400 ","$2,425 ","$2,350 ","$2,450 ","$2,395 ","$2,495 ","$2,350 ",
Jun,"$2,350 ","$2,450 ","$2,500 ","$2,498 ","$2,400 ","$2,400 ","$2,400 ","$2,395 ","$2,395 ","$2,379 ",
Jul,"$2,475 ","$2,500 ","$2,500 ","$2,525 ","$2,250 ","$2,300 ","$2,300 ","$2,300 ","$2,400 ","$2,395 ",
Aug,"$2,300 ","$2,495 ","$2,598 ","$2,400 ","$2,425 ","$2,400 ","$2,300 ","$2,400 ","$2,375 ","$2,350 ",
Sep,"$2,400 ","$2,200 ","$2,695 ","$2,498 ","$2,500 ","$2,300 ","$2,495 ","$2,400 ","$2,300 ","$2,300 ",
Oct,"$2,250 ","$2,300 ","$2,330 ","$2,473 ","$2,400 ","$2,300 ","$2,395 ","$2,300 ","$2,350 ","$2,300 ",
Nov,"$2,500 ","$3,000 ","$2,600 ","$2,400 ","$2,300 ","$2,425 ","$2,300 ","$2,400 ","$2,395 ","$2,300 ",
Dec,"$2,650 ","$2,850 ","$2,500 ","$2,500 ","$2,425 ","$2,300 ","$2,350 ","$2,400 ","$2,300 ","$2,345 ",
