Month,2014,2015,2016,2017,2018,2019,2014_r,2015_r,2016_r,2017_r,2018_r,2019_r,monAvg_avail,monTot_avail,monAvg_avail_r,monTot_avail_r,monAvg_avail_all,monTot_avail_all
Jan,"5,956","7,091","6,272","5,434","4,710","5,154","1,991","1,519","1,323","1,329","1,188","1,393","5,770",34617,"1,457.17",8743,"5,770","43,360"
Feb,"5,873","7,082","6,377","5,440","4,765",,"1,849","1,350","1,259","1,259","1,031",,"5,907",29537,"1,349.60",6748,"5,907","36,285"
Mar,"5,621","7,245","6,464","5,647","4,756",,"1,697","1,216","1,207","1,287",943,,"5,947",29733,"1,270.00",6350,"5,947","36,083"
Apr,"5,416","7,343","6,338","5,638","4,804",,"1,528","1,178","1,138","1,192",970,,"5,908",29539,"1,201.20",6006,"5,908","35,545"
May,"6,300","7,356","6,484","5,721","4,894",,"1,160","1,140","1,171","1,149","1,006",,"6,151",30755,"1,125.20",5626,"6,151","36,381"
Jun,"6,925","7,531","6,590","5,966","5,106",,"1,289","1,091","1,182","1,129",965,,"6,424",32118,"1,131.20",5656,"6,424","37,774"
Jul,"7,249","7,524","6,496","5,920","5,223",,"1,317","1,012","1,126","1,080",986,,"6,482",32412,"1,104.20",5521,"6,482","37,933"
Aug,"7,295","7,402","6,404","5,794","5,318",,"1,327","1,055","1,253","1,351","1,074",,"6,443",32213,"1,212.00",6060,"6,443","38,273"
Sep,"7,485","7,291","6,407","5,518","5,389",,"1,432","1,184","1,294","1,479","1,318",,"6,418",32090,"1,341.40",6707,"6,418","38,797"
Oct,"7,587","6,939","6,174","5,354","5,565",,"1,532","1,223","1,299","1,481","1,381",,"6,324",31619,"1,383.20",6916,"6,324","38,535"
Nov,"7,303","6,790","5,879","5,139","5,584",,"1,519","1,321","1,421","1,396","1,315",,"6,139",30695,"1,394.40",6972,"6,139","37,667"
Dec,"7,127","6,377","5,423","4,665","5,128",,"1,500","1,272","1,335","1,243","1,311",,"5,744",28720,"1,332.20",6661,"5,744","35,381"
yrTot_avail,"80,137","85,971","75,308","66,236","61,242","5,154","18,141","14,561","15,008","15,375","13,488","1,393","56,027",,,,,
yrTot_avail_all,"98,278","100,532","90,316","81,611","74,730","6,547",,,,,,,,,,,,
yr_avg_avail,6678.08,7164.25,6275.67,5519.67,5103.5,5154,1511.75,1213.42,1250.67,1281.25,1124,1393,,,,,,
yrAvg_avail_all,4094.92,4188.83,3763.17,3400.46,3113.75,3273.5,,,,,,,,,,,,
