Month,"Active Listings, Number of 2014","Active Listings, Number of 2015","Active Listings, Number of 2016","Active Listings, Number of 2017","Active Listings, Number of 2018","Active Listings, Number of 2019"
Jan,"5,956","7,091","6,272","5,434","4,710","5,154"
Feb,"5,873","7,082","6,377","5,440","4,765",
Mar,"5,621","7,245","6,464","5,647","4,756",
Apr,"5,416","7,343","6,338","5,638","4,804",
May,"6,300","7,356","6,484","5,721","4,894",
Jun,"6,925","7,531","6,590","5,966","5,106",
Jul,"7,249","7,524","6,496","5,920","5,223",
Aug,"7,295","7,402","6,404","5,794","5,318",
Sep,"7,485","7,291","6,407","5,518","5,389",
Oct,"7,587","6,939","6,174","5,354","5,565",
Nov,"7,303","6,790","5,879","5,139","5,584",
Dec,"7,127","6,377","5,423","4,665","5,128",
