Month,"Sale Price, Median 2009","Sale Price, Median 2010","Sale Price, Median 2011","Sale Price, Median 2012","Sale Price, Median 2013","Sale Price, Median 2014","Sale Price, Median 2015","Sale Price, Median 2016","Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019"
Jan,"$150,000 ","$95,000 ","$94,000 ","$113,000 ","$135,000 ","$158,500 ","$167,000 ","$190,000 ","$214,000 ","$241,000 ","$245,000 "
Feb,"$145,000 ","$104,900 ","$96,250 ","$115,000 ","$142,000 ","$165,299 ","$176,000 ","$195,000 ","$219,000 ","$248,000 ",
Mar,"$139,000 ","$104,500 ","$102,000 ","$118,000 ","$149,900 ","$175,000 ","$193,500 ","$205,000 ","$230,000 ","$242,500 ",
Apr,"$129,900 ","$105,950 ","$106,000 ","$116,000 ","$154,000 ","$171,715 ","$186,000 ","$204,000 ","$233,000 ","$255,000 ",
May,"$125,000 ","$116,000 ","$114,500 ","$122,000 ","$150,000 ","$179,900 ","$192,250 ","$216,500 ","$235,000 ","$262,250 ",
Jun,"$125,000 ","$117,950 ","$115,000 ","$128,000 ","$158,188 ","$176,700 ","$192,500 ","$217,000 ","$245,000 ","$270,000 ",
Jul,"$133,995 ","$109,250 ","$119,000 ","$129,000 ","$165,000 ","$194,250 ","$194,000 ","$225,000 ","$236,801 ","$260,000 ",
Aug,"$124,900 ","$95,000 ","$117,900 ","$122,200 ","$166,000 ","$180,000 ","$194,785 ","$216,000 ","$238,100 ","$259,900 ",
Sep,"$120,000 ","$103,598 ","$117,400 ","$130,600 ","$160,000 ","$182,000 ","$196,000 ","$219,000 ","$240,000 ","$259,000 ",
Oct,"$125,000 ","$105,000 ","$118,000 ","$122,500 ","$165,000 ","$170,000 ","$192,000 ","$215,000 ","$235,000 ","$251,500 ",
Nov,"$123,500 ","$105,000 ","$118,000 ","$135,000 ","$160,600 ","$175,000 ","$193,000 ","$215,750 ","$235,000 ","$257,000 ",
Dec,"$115,900 ","$99,950 ","$118,000 ","$137,000 ","$165,000 ","$180,000 ","$204,950 ","$225,000 ","$250,000 ","$250,000 ",
