Month,"Sales, Number of 2013","Sales, Number of 2014","Sales, Number of 2015","Sales, Number of 2016","Sales, Number of 2017","Sales, Number of 2018"
Jan,"1,192","1,127","1,291","1,291","1,361","1,366"
Feb,"1,399","1,147","1,477","1,462","1,517","1,470"
Mar,"1,667","1,423","1,886","1,858","2,049","2,002"
Apr,"1,682","1,502","1,845","1,862","1,744","1,904"
May,"1,801","1,559","1,923","1,998","2,168","2,117"
Jun,"1,636",464,"2,136","2,094","2,251","2,187"
Jul,"1,784",986,"2,087","1,965","1,973","2,084"
Aug,"1,731","1,403","1,980","2,029","2,103","2,097"
Sep,"1,448","1,514","1,850","1,862","1,519","1,681"
Oct,"1,459","1,692","1,743","1,608","1,684","1,802"
Nov,"1,271","1,343","1,525","1,493","1,644","1,604"
Dec,"1,447","1,703","1,801","1,806","1,811","1,536"
