Month,Property Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,yrTot_spTrend,yrAvg_spTrend
2009,Private,"$150,000 ","$145,000 ","$139,000 ","$129,900 ","$125,000 ","$125,000 ","$133,995 ","$124,900 ","$120,000 ","$125,000 ","$123,500 ","$115,900 ","$1,557,195.00 ","$129,766.25 "
2010,Private,"$95,000 ","$104,900 ","$104,500 ","$105,950 ","$116,000 ","$117,950 ","$109,250 ","$95,000 ","$103,598 ","$105,000 ","$105,000 ","$99,950 ","$2,819,293.00 ","$105,174.83 "
2011,Private,"$94,000 ","$96,250 ","$102,000 ","$106,000 ","$114,500 ","$115,000 ","$119,000 ","$117,900 ","$117,400 ","$118,000 ","$118,000 ","$118,000 ","$2,598,148.00 ","$111,337.50 "
2012,Private,"$113,000 ","$115,000 ","$118,000 ","$116,000 ","$122,000 ","$128,000 ","$129,000 ","$122,200 ","$130,600 ","$122,500 ","$135,000 ","$137,000 ","$2,824,350.00 ","$124,025.00 "
2013,Private,"$135,000 ","$142,000 ","$149,900 ","$154,000 ","$150,000 ","$158,188 ","$165,000 ","$166,000 ","$160,000 ","$165,000 ","$160,600 ","$165,000 ","$3,358,988.00 ","$155,890.67 "
2014,Private,"$158,500 ","$165,299 ","$175,000 ","$171,715 ","$179,900 ","$176,700 ","$194,250 ","$180,000 ","$182,000 ","$170,000 ","$175,000 ","$180,000 ","$3,979,052.00 ","$175,697.00 "
2015,Private,"$167,000 ","$176,000 ","$193,500 ","$186,000 ","$192,250 ","$192,500 ","$194,000 ","$194,785 ","$196,000 ","$192,000 ","$193,000 ","$204,950 ","$4,390,349.00 ","$190,165.42 "
2016,Private,"$190,000 ","$195,000 ","$205,000 ","$204,000 ","$216,500 ","$217,000 ","$225,000 ","$216,000 ","$219,000 ","$215,000 ","$215,750 ","$225,000 ","$4,825,235.00 ","$211,937.50 "
2017,Private,"$214,000 ","$219,000 ","$230,000 ","$233,000 ","$235,000 ","$245,000 ","$236,801 ","$238,100 ","$240,000 ","$235,000 ","$235,000 ","$250,000 ","$5,354,151.00 ","$234,241.75 "
2018,Private,"$241,000 ","$248,000 ","$242,500 ","$255,000 ","$262,250 ","$270,000 ","$260,000 ","$259,900 ","$259,000 ","$251,500 ","$257,000 ","$250,000 ","$5,867,051.00 ","$254,679.17 "
2019,Private,"$245,000 ",,,,,,,,,,,,"$3,301,150.00 ","$245,000.00 "
2009,Rental,"$2,300 ","$2,300 ","$2,425 ","$2,500 ","$2,500 ","$2,350 ","$2,475 ","$2,300 ","$2,400 ","$2,250 ","$2,500 ","$2,650 ","$273,950.00 ","$2,412.50 "
2010,Rental,"$2,275 ","$2,500 ","$2,700 ","$2,448 ","$2,500 ","$2,450 ","$2,500 ","$2,495 ","$2,200 ","$2,300 ","$3,000 ","$2,850 ","$59,168.00 ","$2,518.17 "
2011,Rental,"$2,325 ","$2,300 ","$2,500 ","$2,375 ","$2,350 ","$2,500 ","$2,500 ","$2,598 ","$2,695 ","$2,330 ","$2,600 ","$2,500 ","$59,791.00 ","$2,464.42 "
2012,Rental,"$2,345 ","$2,525 ","$2,650 ","$2,500 ","$2,400 ","$2,498 ","$2,525 ","$2,400 ","$2,498 ","$2,473 ","$2,400 ","$2,500 ","$59,287.00 ","$2,476.17 "
2013,Rental,"$2,400 ","$2,498 ","$2,450 ","$2,400 ","$2,425 ","$2,400 ","$2,250 ","$2,425 ","$2,500 ","$2,400 ","$2,300 ","$2,425 ","$58,587.00 ","$2,406.08 "
2014,Rental,"$2,481 ","$2,375 ","$2,250 ","$2,400 ","$2,350 ","$2,400 ","$2,300 ","$2,400 ","$2,300 ","$2,300 ","$2,425 ","$2,300 ","$57,154.00 ","$2,356.75 "
2015,Rental,"$2,495 ","$2,300 ","$2,385 ","$2,450 ","$2,450 ","$2,400 ","$2,300 ","$2,300 ","$2,495 ","$2,395 ","$2,300 ","$2,350 ","$56,901.00 ","$2,385.00 "
2016,Rental,"$2,350 ","$2,300 ","$2,495 ","$2,300 ","$2,395 ","$2,395 ","$2,300 ","$2,400 ","$2,400 ","$2,300 ","$2,400 ","$2,400 ","$57,055.00 ","$2,369.58 "
2017,Rental,"$2,325 ","$2,400 ","$2,300 ","$2,398 ","$2,495 ","$2,395 ","$2,400 ","$2,375 ","$2,300 ","$2,350 ","$2,395 ","$2,300 ","$56,868.00 ","$2,369.42 "
2018,Rental,"$2,300 ","$2,450 ","$2,320 ","$2,300 ","$2,350 ","$2,379 ","$2,395 ","$2,350 ","$2,300 ","$2,300 ","$2,300 ","$2,345 ","$56,522.00 ","$2,340.75 "
2019,Rental,"$2,250 ",,,,,,,,,,,,"$30,339.00 ","$2,250.00 "
2009,Both,152300,147300,141425,132400,127500,127350,136470,127200,122400,127250,126000,118550,"$1,588,395.00 ","$132,178.75 "
2010,Both,97275,107400,107200,108398,118500,120400,111750,97495,105798,107300,108000,102800,"$2,878,461.00 ","$107,693.00 "
2011,Both,96325,98550,104500,108375,116850,117500,121500,120498,120095,120330,120600,120500,"$2,657,939.00 ","$113,801.92 "
2012,Both,115345,117525,120650,118500,124400,130498,131525,124600,133098,124973,137400,139500,"$2,883,637.00 ","$126,501.17 "
2013,Both,137400,144498,152350,156400,152425,160588,167250,168425,162500,167400,162900,167425,"$3,417,575.00 ","$158,296.75 "
2014,Both,160981,167674,177250,174115,182250,179100,196550,182400,184300,172300,177425,182300,"$4,036,206.00 ","$178,053.75 "
2015,Both,169495,178300,195885,188450,194700,194900,196300,197085,198495,194395,195300,207300,"$4,447,250.00 ","$192,550.42 "
2016,Both,192350,197300,207495,206300,218895,219395,227300,218400,221400,217300,218150,227400,"$4,882,290.00 ","$214,307.08 "
