Month,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009_r,2010_r,2011_r,2012_r,2013_r,2014_r,2015_r,2016_r,2017_r,2018_r,2019_r,avg_mon_spTrend_p,total_mon_spTrend_p,avg_mon_spTrend_r,total_mon_spTrend_r,avg_monthly_spTrend,total_mon_spTrend
Jan,"$150,000 ","$95,000 ","$94,000 ","$113,000 ","$135,000 ","$158,500 ","$167,000 ","$190,000 ","$214,000 ","$241,000 ","$245,000 ","$2,300 ","$2,275 ","$2,325 ","$2,345 ","$2,400 ","$2,481 ","$2,495 ","$2,350 ","$2,325 ","$2,300 ","$2,250 ","$163,864 ","$1,802,500 ","$2,350 ","$25,846 ","$83,107 ","$1,828,346 "
Feb,"$145,000 ","$104,900 ","$96,250 ","$115,000 ","$142,000 ","$165,299 ","$176,000 ","$195,000 ","$219,000 ","$248,000 ",,"$2,300 ","$2,500 ","$2,300 ","$2,525 ","$2,498 ","$2,375 ","$2,300 ","$2,300 ","$2,400 ","$2,450 ",,"$160,645 ","$1,606,449 ","$2,395 ","$23,948 ","$81,520 ","$1,630,397 "
Mar,"$139,000 ","$104,500 ","$102,000 ","$118,000 ","$149,900 ","$175,000 ","$193,500 ","$205,000 ","$230,000 ","$242,500 ",,"$2,425 ","$2,700 ","$2,500 ","$2,650 ","$2,450 ","$2,250 ","$2,385 ","$2,495 ","$2,300 ","$2,320 ",,"$165,940 ","$1,659,400 ","$2,448 ","$24,475 ","$84,194 ","$1,683,875 "
Apr,"$129,900 ","$105,950 ","$106,000 ","$116,000 ","$154,000 ","$171,715 ","$186,000 ","$204,000 ","$233,000 ","$255,000 ",,"$2,500 ","$2,448 ","$2,375 ","$2,500 ","$2,400 ","$2,400 ","$2,450 ","$2,300 ","$2,398 ","$2,300 ",,"$166,157 ","$1,661,565 ","$2,407 ","$24,071 ","$84,282 ","$1,685,636 "
May,"$125,000 ","$116,000 ","$114,500 ","$122,000 ","$150,000 ","$179,900 ","$192,250 ","$216,500 ","$235,000 ","$262,250 ",,"$2,500 ","$2,500 ","$2,350 ","$2,400 ","$2,425 ","$2,350 ","$2,450 ","$2,395 ","$2,495 ","$2,350 ",,"$171,340 ","$1,713,400 ","$2,422 ","$24,215 ","$86,881 ","$1,737,615 "
Jun,"$125,000 ","$117,950 ","$115,000 ","$128,000 ","$158,188 ","$176,700 ","$192,500 ","$217,000 ","$245,000 ","$270,000 ",,"$2,350 ","$2,450 ","$2,500 ","$2,498 ","$2,400 ","$2,400 ","$2,400 ","$2,395 ","$2,395 ","$2,379 ",,"$174,534 ","$1,745,338 ","$2,417 ","$24,167 ","$88,475 ","$1,769,505 "
Jul,"$133,995 ","$109,250 ","$119,000 ","$129,000 ","$165,000 ","$194,250 ","$194,000 ","$225,000 ","$236,801 ","$260,000 ",,"$2,475 ","$2,500 ","$2,500 ","$2,525 ","$2,250 ","$2,300 ","$2,300 ","$2,300 ","$2,400 ","$2,395 ",,"$176,630 ","$1,766,296 ","$2,395 ","$23,945 ","$89,512 ","$1,790,241 "
Aug,"$124,900 ","$95,000 ","$117,900 ","$122,200 ","$166,000 ","$180,000 ","$194,785 ","$216,000 ","$238,100 ","$259,900 ",,"$2,300 ","$2,495 ","$2,598 ","$2,400 ","$2,425 ","$2,400 ","$2,300 ","$2,400 ","$2,375 ","$2,350 ",,"$171,479 ","$1,714,785 ","$2,404 ","$24,043 ","$86,941 ","$1,738,828 "
Sep,"$120,000 ","$103,598 ","$117,400 ","$130,600 ","$160,000 ","$182,000 ","$196,000 ","$219,000 ","$240,000 ","$259,000 ",,"$2,400 ","$2,200 ","$2,695 ","$2,498 ","$2,500 ","$2,300 ","$2,495 ","$2,400 ","$2,300 ","$2,300 ",,"$172,760 ","$1,727,598 ","$2,409 ","$24,088 ","$87,584 ","$1,751,686 "
Oct,"$125,000 ","$105,000 ","$118,000 ","$122,500 ","$165,000 ","$170,000 ","$192,000 ","$215,000 ","$235,000 ","$251,500 ",,"$2,250 ","$2,300 ","$2,330 ","$2,473 ","$2,400 ","$2,300 ","$2,395 ","$2,300 ","$2,350 ","$2,300 ",,"$169,900 ","$1,699,000 ","$2,340 ","$23,398 ","$86,120 ","$1,722,398 "
Nov,"$123,500 ","$105,000 ","$118,000 ","$135,000 ","$160,600 ","$175,000 ","$193,000 ","$215,750 ","$235,000 ","$257,000 ",,"$2,500 ","$3,000 ","$2,600 ","$2,400 ","$2,300 ","$2,425 ","$2,300 ","$2,400 ","$2,395 ","$2,300 ",,"$171,785 ","$1,717,850 ","$2,462 ","$24,620 ","$87,124 ","$1,742,470 "
